Dia,Hora de início,Impressões
Domingo,00,216
Domingo,01,96
Domingo,02,38
Domingo,03,24
Domingo,04,18
Domingo,05,37
Domingo,06,228
Domingo,07,484
Domingo,08,596
Domingo,09,643
Domingo,10,806
Domingo,11,830
Domingo,12,909
Domingo,13,866
Domingo,14,705
Domingo,15,981
Domingo,16,751
Domingo,17,785
Domingo,18,752
Domingo,19,775
Domingo,20,882
Domingo,21,901
Domingo,22,883
Domingo,23,646
Segunda-feira,00,308
Segunda-feira,01,188
Segunda-feira,02,40
Segunda-feira,03,34
Segunda-feira,04,21
Segunda-feira,05,28
Segunda-feira,06,357
Segunda-feira,07,614
Segunda-feira,08,717
Segunda-feira,09,927
Segunda-feira,10,1.226
Segunda-feira,11,1.018
Segunda-feira,12,1.224
Segunda-feira,13,1.046
Segunda-feira,14,938
Segunda-feira,15,1.048
Segunda-feira,16,1.061
Segunda-feira,17,1.342
Segunda-feira,18,1.300
Segunda-feira,19,1.764
Segunda-feira,20,2.045
Segunda-feira,21,1.449
Segunda-feira,22,771
Segunda-feira,23,381
Terça-feira,00,134
Terça-feira,01,110
Terça-feira,02,63
Terça-feira,03,30
Terça-feira,04,25
Terça-feira,05,50
Terça-feira,06,597
Terça-feira,07,757
Terça-feira,08,667
Terça-feira,09,779
Terça-feira,10,912
Terça-feira,11,1.028
Terça-feira,12,843
Terça-feira,13,968
Terça-feira,14,1.009
Terça-feira,15,917
Terça-feira,16,950
Terça-feira,17,994
Terça-feira,18,1.213
Terça-feira,19,1.372
Terça-feira,20,1.608
Terça-feira,21,1.494
Terça-feira,22,1.418
Terça-feira,23,893
Quarta-feira,00,196
Quarta-feira,01,101
Quarta-feira,02,70
Quarta-feira,03,32
Quarta-feira,04,34
Quarta-feira,05,38
Quarta-feira,06,904
Quarta-feira,07,718
Quarta-feira,08,664
Quarta-feira,09,789
Quarta-feira,10,849
Quarta-feira,11,713
Quarta-feira,12,772
Quarta-feira,13,738
Quarta-feira,14,685
Quarta-feira,15,614
Quarta-feira,16,751
Quarta-feira,17,1.085
Quarta-feira,18,901
Quarta-feira,19,983
Quarta-feira,20,1.164
Quarta-feira,21,1.391
Quarta-feira,22,1.330
Quarta-feira,23,684
Quinta-feira,00,111
Quinta-feira,01,55
Quinta-feira,02,34
Quinta-feira,03,30
Quinta-feira,04,40
Quinta-feira,05,43
Quinta-feira,06,397
Quinta-feira,07,567
Quinta-feira,08,632
Quinta-feira,09,1.030
Quinta-feira,10,1.077
Quinta-feira,11,1.040
Quinta-feira,12,827
Quinta-feira,13,824
Quinta-feira,14,815
Quinta-feira,15,869
Quinta-feira,16,833
Quinta-feira,17,1.116
Quinta-feira,18,1.454
Quinta-feira,19,1.416
Quinta-feira,20,1.034
Quinta-feira,21,898
Quinta-feira,22,762
Quinta-feira,23,369
Sexta-feira,00,102
Sexta-feira,01,70
Sexta-feira,02,28
Sexta-feira,03,27
Sexta-feira,04,19
Sexta-feira,05,21
Sexta-feira,06,356
Sexta-feira,07,495
Sexta-feira,08,438
Sexta-feira,09,606
Sexta-feira,10,525
Sexta-feira,11,593
Sexta-feira,12,631
Sexta-feira,13,576
Sexta-feira,14,685
Sexta-feira,15,659
Sexta-feira,16,711
Sexta-feira,17,604
Sexta-feira,18,546
Sexta-feira,19,680
Sexta-feira,20,802
Sexta-feira,21,1.087
Sexta-feira,22,840
Sexta-feira,23,198
Sábado,00,189
Sábado,01,85
Sábado,02,76
Sábado,03,58
Sábado,04,26
Sábado,05,26
Sábado,06,348
Sábado,07,580
Sábado,08,670
Sábado,09,799
Sábado,10,736
Sábado,11,789
Sábado,12,854
Sábado,13,914
Sábado,14,1.093
Sábado,15,989
Sábado,16,881
Sábado,17,821
Sábado,18,892
Sábado,19,830
Sábado,20,839
Sábado,21,765
Sábado,22,751
Sábado,23,253
