Data,Cliques,Conversões,Custo / conv.,Custo
"ter., 23 de set. de 2025",55,"5,00","R$ 12,68","R$ 63,42"
"qua., 24 de set. de 2025",57,"8,00","R$ 6,46","R$ 51,72"
"qui., 25 de set. de 2025",61,"9,50","R$ 6,53","R$ 62,05"
"sex., 26 de set. de 2025",55,"8,01","R$ 7,12","R$ 56,97"
"sáb., 27 de set. de 2025",63,"6,50","R$ 7,51","R$ 48,84"
"dom., 28 de set. de 2025",75,"5,99","R$ 11,18","R$ 66,99"
"seg., 29 de set. de 2025",75,"11,00","R$ 6,12","R$ 67,36"
"ter., 30 de set. de 2025",90,"6,00","R$ 11,19","R$ 67,17"
"qua., 1 de out. de 2025",70,"6,00","R$ 11,45","R$ 68,73"
"qui., 2 de out. de 2025",68,"7,00","R$ 10,67","R$ 74,68"
"sex., 3 de out. de 2025",53,"9,00","R$ 8,24","R$ 74,16"
"sáb., 4 de out. de 2025",68,"7,01","R$ 8,50","R$ 59,63"
"dom., 5 de out. de 2025",35,"3,99","R$ 5,70","R$ 22,73"
"seg., 6 de out. de 2025",127,"8,00","R$ 12,89","R$ 103,09"
"ter., 7 de out. de 2025",113,"6,00","R$ 13,37","R$ 80,21"
"qua., 8 de out. de 2025",90,"12,00","R$ 8,13","R$ 97,50"
"qui., 9 de out. de 2025",73,"10,00","R$ 8,16","R$ 81,59"
"sex., 10 de out. de 2025",68,"3,00","R$ 15,89","R$ 47,67"
"sáb., 11 de out. de 2025",96,"10,00","R$ 7,20","R$ 71,98"
"dom., 12 de out. de 2025",77,"8,00","R$ 4,85","R$ 38,81"
"seg., 13 de out. de 2025",97,"10,00","R$ 8,08","R$ 80,82"
"ter., 14 de out. de 2025",83,"10,00","R$ 6,91","R$ 69,10"
"qua., 15 de out. de 2025",65,"6,00","R$ 10,80","R$ 64,80"
"qui., 16 de out. de 2025",153,"7,00","R$ 13,30","R$ 93,11"
"sex., 17 de out. de 2025",97,"6,00","R$ 8,66","R$ 51,95"
"sáb., 18 de out. de 2025",139,"8,00","R$ 9,17","R$ 73,35"
"dom., 19 de out. de 2025",80,"5,00","R$ 9,08","R$ 45,40"
"seg., 20 de out. de 2025",155,"9,00","R$ 10,65","R$ 95,88"
"ter., 21 de out. de 2025",148,"8,00","R$ 9,53","R$ 76,20"
"qua., 22 de out. de 2025",114,"4,00","R$ 10,77","R$ 43,07"
